City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Date
183,Haines Junction,CA,60.7522,-137.5108,64.35,39,25,3.44,scattered clouds,2021-07-23 19:45:41
184,Lithakia,GR,37.7167,20.8333,79.88,65,20,0.0,few clouds,2021-07-23 19:45:41
185,Magdalena,PH,14.1999,121.429,80.24,88,100,9.42,moderate rain,2021-07-23 19:45:41
186,Bamenda,CM,5.9527,10.1582,63.36,99,100,2.55,light rain,2021-07-23 19:45:42
187,Mamit,IN,23.9333,92.4833,69.66,98,90,1.34,overcast clouds,2021-07-23 19:45:42
188,Qingdao,CN,36.0986,120.3719,74.8,83,0,0.0,clear sky,2021-07-23 19:45:43
189,Ponta Do Sol,PT,32.6667,-17.1,74.71,74,1,5.01,clear sky,2021-07-23 19:42:56
190,Huarmey,PE,-10.0681,-78.1522,69.24,73,6,14.32,clear sky,2021-07-23 19:45:43
191,Taoudenni,ML,22.6783,-3.9836,100.54,23,92,16.17,overcast clouds,2021-07-23 19:45:43
192,Bilma,NE,18.6853,12.9164,95.97,26,8,11.77,clear sky,2021-07-23 19:45:44
193,Paamiut,GL,61.994,-49.6678,43.27,84,57,2.53,broken clouds,2021-07-23 19:45:44
194,Sinnamary,GF,5.3833,-52.95,81.16,84,73,12.75,broken clouds,2021-07-23 19:35:54
195,Pitimbu,BR,-7.4706,-34.8086,79.39,82,32,16.51,scattered clouds,2021-07-23 19:45:44
196,Lively,CA,46.4334,-81.1498,80.38,46,1,8.25,clear sky,2021-07-23 19:45:45
197,Bundaberg,AU,-24.85,152.35,69.22,92,90,1.99,overcast clouds,2021-07-23 19:45:45
198,Sur,OM,22.5667,59.5289,92.75,55,25,11.72,scattered clouds,2021-07-23 19:45:38
199,Avera,US,33.194,-82.5271,92.86,51,80,3.13,broken clouds,2021-07-23 19:36:11
200,Cabo San Lucas,MX,22.8909,-109.9124,100.51,66,1,9.95,clear sky,2021-07-23 19:41:16
201,Buin,CL,-33.7333,-70.75,73.72,36,4,5.35,clear sky,2021-07-23 19:45:46
202,Polyarnyy,RU,69.1989,33.4478,46.87,81,100,28.7,overcast clouds,2021-07-23 19:45:46
203,Forestville,US,38.8451,-76.875,88.23,38,20,8.05,few clouds,2021-07-23 19:44:26
204,Narsaq,GL,60.9167,-46.05,57.42,60,4,4.16,clear sky,2021-07-23 19:36:01
205,Kushima,JP,31.4583,131.2333,77.59,91,100,13.29,overcast clouds,2021-07-23 19:45:46
206,Payo,ID,-3.7508,103.6372,71.31,98,33,1.95,scattered clouds,2021-07-23 19:45:47
207,Tarija,BO,-21.5355,-64.7296,89.51,15,0,5.75,clear sky,2021-07-23 19:45:47
208,Harper,LR,4.375,-7.7169,75.72,75,100,8.01,overcast clouds,2021-07-23 19:36:18
209,Kuchinarai,TH,16.541,104.05,74.17,95,100,19.57,light rain,2021-07-23 19:45:47
210,Manali,IN,13.1667,80.2667,84.29,64,100,15.64,overcast clouds,2021-07-23 19:45:48
211,Ambon,ID,-3.6954,128.1814,77.68,87,100,8.08,overcast clouds,2021-07-23 19:45:48
